﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4SO0nnqRKg2sNfvEaEBs4w","She Don't Tell Me To","Montgomery Gentry","Something To Be Proud Of: Best Of 1999-2005","1","1","187213","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1uRvF355jFHDKrsUWEXkRF","Wherever You Are","Jack Ingram","Wherever You Are (Live)","1","2","215560","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3eYmuUEJZHBX5wBx9Bp3c6","Nobody But Me","Blake Shelton","Loaded: The Best Of Blake Shelton","1","7","158220","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:02qR0Dbi6JawnhEHD3UxHq","Believe","Brooks & Dunn","#1s ... and then some","2","15","340533","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6JmHCqhSctR1NlQz2aZiGY","Living In Fast Forward","Kenny Chesney","Greatest Hits II","1","2","211906","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1mLStmTgqH0nBzds3S4jkJ","Building Bridges - (Guest Vocals by Sheryl Crow and Vince Gill)","Brooks & Dunn","Hillbilly Deluxe","1","9","262866","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0fZq48okuWkpAgjsWogAJ4","I Loved Her First","Heartland","I Loved Her First","1","9","212013","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0mQwzu0pIf3JiAQcVALZho","Get Drunk And Be Somebody","Toby Keith","White Trash With Money","1","1","178840","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4g1KdhosR6v8qCT1F1Njev","Every Mile A Memory","Dierks Bentley","Long Trip Alone","1","1","232720","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6AuUXX8vRuLccpJvgHoR86","Size Matters (Someday)","Joe Nichols","Greatest Hits","1","5","170960","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6TefPQD0oc88BNALpu4U87","Must Be Doin' Somethin' Right","Billy Currington","Doin' Somethin' Right","1","3","269586","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2YItEKcb3NAvrawhGf01ej","Honky Tonk Badonkadonk","Trace Adkins","American Man, Greatest Hits Volume II","1","4","239800","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6VlQUYsso2sAhTxUQneekG","She Let Herself Go","George Strait","22 More Hits","1","11","196506","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0ZUo4YjG4saFnEJhdWp9Bt","Before He Cheats","Carrie Underwood","Some Hearts","1","7","199946","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2ubNg9pBpRkH9WJgVUjG8U","Me And My Gang","Rascal Flatts","Me And My Gang (International Version)","1","10","217986","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0UgHkodbptL6XQBfT5HOK1","You Save Me","Kenny Chesney","The Road And The Radio","1","4","235773","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:10TLpTjjLKcpBN6kayS0mI","Once In A Lifetime","Keith Urban","Love, Pain & the whole crazy thing","1","1","353813","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4MSnF5Ajr8P0LqC4Zd66DH","Just Might (Make Me Believe)","Sugarland","Twice The Speed Of Life","1","5","247800","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3H2PYvePtlKoErKnlP943M","The Lucky One","Faith Hill","Fireflies (U.S. Release)","1","9","216426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:230QoWFdxdHUTNzsXiyhj0","Cheatin'","Sara Evans","Greatest Hits","1","5","206386","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2TmD4OyEl5WyhXR6wIia6m","Sunshine And Summertime","Faith Hill","Fireflies (U.S. Release)","1","1","207173","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6kKMq2FEsBnFADfyQ5s7cq","Want To","Sugarland","Enjoy The Ride","1","3","215293","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4cpXOdI3swm8Pfb39P2Jue","Why, Why, Why","Billy Currington","Doin' Somethin' Right","1","4","165346","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Garth+Brooks:The+Ultimate+Hits+%5BDisc+1%5D:Good+Ride+Cowboy:208","Good Ride Cowboy","Garth Brooks","The Ultimate Hits [Disc 1]","0","0","208000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2sOak8rSPT3DzCO93gInOR","My Old Friend","Tim McGraw","Greatest Hits, Vol. 2","1","2","218173","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5tdbsJQ86BVvjmpTikVP7q","Like We Never Loved At All","Faith Hill","Fireflies (U.S. Release)","1","7","257693","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4t7sDpxqkUdcYHA32s9XjQ","My Wish","Rascal Flatts","Me And My Gang (International Version)","1","5","248280","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4HE1X1MtjHCjxicUHYQmyW","Come a Little Closer","Dierks Bentley","Greatest Hits / Every Mile A Memory 2003 - 2008","1","4","282720","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4jVipHalgvFVz3Smp4aQID","Feels Just Like It Should","Pat Green","Cannonball","1","5","227026","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:33Ac3dT2JHu0ljlPoGVYHT","The Seashores Of Old Mexico","George Strait","Somewhere Down In Texas","1","3","251333","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7nYlugCSeD241T5C9uzbrd","I Got You","Craig Morgan","Greatest Hits","1","10","233653","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5Vkdh8GfdXmwyJjzPewMWM","Who You'd Be Today","Kenny Chesney","The Road And The Radio","1","3","254573","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Tim+McGraw:Tim+McGraw%3A+Greatest+Hits%2C+Vol.+2:My+Little+Girl+%28From+the+Motion+Picture+%22My+Friend+Flicka%22%29:219","My Little Girl (From the Motion Picture "My Friend Flicka")","Tim McGraw","Tim McGraw: Greatest Hits, Vol. 2","0","0","219000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Joe+Nichols:Old+Things+New:Tequila+Makes+Her+Clothes+Fall+Off:185","Tequila Makes Her Clothes Fall Off","Joe Nichols","Old Things New","0","0","185000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6F11sb1WdGn8MG1TTjl6wl","Findin' A Good Man","Danielle Peck","Danielle Peck","1","1","192786","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0iTR57bhc1jm1tf9j5XDhh","Mountains","Lonestar","Mountains","1","1","234400","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4RRwqi2CfJrxhgIOwhkn4l","Love You - Live","Jack Ingram","Wherever You Are (Live)","1","14","210533","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4inqRcEzSuibG9KJR50wBh","Not Ready To Make Nice","Dixie Chicks","Taking The Long Way","1","3","238093","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4FUoWwUcdjbJ9QRBfwKwTa","Life Is A Highway - From "Cars"/Soundtrack Version","Rascal Flatts","Cars (Versión de Colección)","1","3","275640","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3dAgQFdruU8ufWc5GE05xC","She's Everything","Brad Paisley","Time Well Wasted","1","5","266920","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:The+Wreckers:Stand+Still%2C+Look+Pretty:Leave+the+Pieces:211","Leave the Pieces","The Wreckers","Stand Still, Look Pretty","0","0","211000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5xIp2ld6XZV1N8W4Rc3mmW","Watching You","Rodney Atkins","If You're Going Through Hell","1","3","235426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6JQLOEU6ZntecVe1nyvtSC","Ladies Love Country Boys","Trace Adkins","Definitive Greatest Hits","2","1","222333","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1R1DsT0pvbntgdacgYVAgL","It Just Comes Natural","George Strait","It Just Comes Natural","1","5","176426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5nujFRnp0zvNYqWgtk2HSl","Tim McGraw","Taylor Swift","Taylor Swift","1","1","232106","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2gL2Pm7OJkk0X5neLyqiKB","Stupid Boy","Keith Urban","Love, Pain & the whole crazy thing","1","7","376386","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0SCtEUwSkgavjuzebBznX5","Don't Forget to Remember Me","Carrie Underwood","Some Hearts","1","2","240266","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4uCqGUnKceFZLMD6xWPjsW","Wherever You Are","Jack Ingram","This Is It (Standard Version)","1","4","214466","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6cw33Opnxj9SoKGOqbt3rz","Amarillo Sky","Jason Aldean","Jason Aldean","1","2","202546","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:63YyQQtDdufxojf9LdC443","Bring It On Home","Little Big Town","The Road To Here","1","4","260626","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7cmZDjXMF1A0dGV726pMYs","Some People Change","Montgomery Gentry","Some People Change","1","1","201866","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5zWytgeAf6efbCgHGxyOgM","Little Bit of Life","Craig Morgan","Greatest Hits","1","6","252933","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Kellie+Pickler:Small+Town+Girl:Red+High+Heels:222","Red High Heels","Kellie Pickler","Small Town Girl","0","0","222000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7l2mYsNQu8zxQ54mcsiXMX","Swing","Trace Adkins","Definitive Greatest Hits","1","7","217280","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:32C5of1pAeU7IeEbGiLWAo","Yee Haw","Jake Owen","Startin' With Me","1","4","172506","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:338arfXmD9XaESFjfcQLsg","One Wing In The Fire","Trent Tomlinson","Country Is My Rock","1","10","232546","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:02UsEVANua3McXtP61cfos","Like Red On a Rose","Alan Jackson","Like Red On a Rose","1","1","211773","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:44uPR8hTkZmXh40uIx30WK","How 'Bout You","Eric Church","Sinners Like Me","1","3","229880","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3KrORf4Fwzv1FApWZLARXN","I Can't Unlove You","Kenny Rogers","A Love Song Collection","1","16","205880","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5p53PF8DpDlAe7I9zXwirD","Our Country - Country Version","John Mellencamp","Our Country (Country Version)","1","1","226626","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:60E8Jx9OsSkoYPQWijCpuQ","You'll Always Be My Baby","Sara Evans","Real Fine Place","1","5","276280","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2X0aeFJXJZpeK2nSWvypiI","8th Of November - Album Version w/o Intro","Big & Rich","Comin' To Your City (Revised)","1","14","298240","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6xAz2Z3HEdZ3NOj6FogHwo","Crash Here Tonight","Toby Keith","Crash Here Tonight","1","1","181666","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7F48iwtNik16pAg9YTDbUf","The Dollar","Jamey Johnson","The Dollar","1","1","179146","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0gQX9UcC98JsIP8zeMGInq","Nobody Gonna Tell Me What To Do","Van Zant","Get Right With The Man","1","2","208946","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3ARWtAeseGVeGo3zW6hrtC","Down In Mississippi (Up To No Good)","Sugarland","Twice The Speed Of Life","1","6","171666","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7v7Ia3yAVcB0smPQY6bGwZ","Drunker Than Me","Trent Tomlinson","Country Is My Rock","1","7","191706","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2441dQjgre9AmrKGh2tClB","Favorite State Of Mind","Josh Gracin","We Weren't Crazy","1","6","198666","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2QA2nC7jX0fcHphvulAwcf","I'm Taking The Wheel","SHeDAISY","The Best Of SHeDAISY","1","10","194266","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3aLD4sG82hq2c1xVpiIkK5","New Strings","Miranda Lambert","Kerosene","1","4","230106","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1o8D1R1K5yzHv9v9yIDPb7","California Girls","Gretchen Wilson","All Jacked Up","1","2","168520","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1MvMy8Cant5Szhv3zhe5ex","On Again Tonight","Trent Willmon","A Little More Livin'","1","3","219600","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5j8hJl6cbzW4eb9PzhcS8O","Good As Gone","Little Big Town","The Road To Here","1","1","252133","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7hIikyIX0Ooo09fuZVXtyj","Two Pink Lines","Eric Church","Sinners Like Me","1","11","207426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2N9Hl7Rf4DJxP2Qb6taPPl","The Woman In My Life","Phil Vassar","Greatest Hits Volume 1","1","12","223320","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:52qYTT6fUd6pYpVPn4w8OB","Politically Uncorrect - Featuring Merle Haggard","Gretchen Wilson","All Jacked Up","1","7","203480","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1DfAl4uoWlnQ0vmFVSBH5i","I Don't Know What She Said","Blaine Larsen","Rockin' You Tonight","1","1","224333","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6PeUf9jWBYdwPvcLIIAUJa","Way Back Texas","Pat Green","Cannonball","1","2","247386","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2z9tGO5EeKUpOzrcOQBCES","I Keep Coming Back","Josh Gracin","We Weren't Crazy","1","8","231706","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1vXietW5itXdW9zh89lyDF","Isn't That Everything","Danielle Peck","Danielle Peck","1","2","179880","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6cZLqMKOFUz3yEEB1j8PGo","God Only Cries","Diamond Rio","Greatest Hits II","1","1","236666","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4YEzNeBZbfP5nAChuwH10E","Innocence","Sarah Buxton","Sarah Buxton and The Pajama Sessions","1","8","222986","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6oQv2MhhzKgQC2n7x9IUnC","It's Too Late To Worry","Jo Dee Messina","Delicious Surprise","1","7","235466","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:180FEn7UGXPXE0dZXIDcvP","In Terms Of Love","SHeDAISY","The Best Of SHeDAISY","1","11","220666","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Gretchen+Wilson:Come+To+Bed:Come+To+Bed+%28Featuring+John+Rich%29:233","Come To Bed (Featuring John Rich)","Gretchen Wilson","Come To Bed","0","0","233000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:local:Garth+Brooks:The+Lost+Sessions:That+Girl+Is+A+Cowboy:263","That Girl Is A Cowboy","Garth Brooks","The Lost Sessions","0","0","263000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6imZD5gXSYO1fZqT0BYAfZ","Some People","LeAnn Rimes","This Woman","1","12","236480","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4xzr3XjAfc8OSSAw4v9fEf","Never Mind Me","Big & Rich","Comin' To Your City (Revised)","1","4","206680","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6Dl6O2HXFhi3MCOavYXLWY","Nothin' But A Love Thang","Darryl Worley","Here And Now","1","2","183573","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:092TE5mHY1wamE5Q7qXd1w","Go Tell It On The Mountain","Little Big Town","Go Tell It On The Mountain","1","1","230000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:08RsfwgoLHXfOTW4496ZsA","Come On Rain","Steve Holy","Brand New Girlfriend","1","2","207533","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3DqSlzUTgdMlavfCY0ueaT","The Last Of A Dying Breed","Neal McCoy","That's Life","1","3","182826","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5xIp2ld6XZV1N8W4Rc3mmW","Watching You","Rodney Atkins","If You're Going Through Hell","1","3","235426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7GQjJEwqlp6m5HNWVQd6OR","Good Directions","Billy Currington","Doin' Somethin' Right","1","2","215853","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:41OvINy2RjLet11iW849vX","Never Wanted Nothing More","Kenny Chesney","Just Who I Am: Poets & Pirates","1","1","208560","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1P5WxIzlcNsX1Et9L6oPbw","These Are My People","Rodney Atkins","If You're Going Through Hell","1","1","213653","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6xRMwzjtb7bEbDFYP97jQB","Take Me There","Rascal Flatts","Still Feels Good (International Version)","1","1","266586","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:6WacAQkSA7QkEPnxse7WWw","Lost In This Moment","Big & Rich","Between Raising Hell And Amazing Grace","1","2","210842","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:5d98TnYzxQmFE4vKgzWXuT","Wasted","Carrie Underwood","Some Hearts","1","1","274266","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:2NIHbrablndDSa0WyNJYKA","If You're Reading This","Tim McGraw","Greatest Hits, Vol. 3","1","3","245960","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4Ng7hGdPwpINleVecBWiOO","Free And Easy (Down The Road I Go)","Dierks Bentley","Greatest Hits / Every Mile A Memory 2003 - 2008","1","1","201120","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1OSUPKCSPvuiz624ynd7Px","Settlin'","Sugarland","Enjoy The Ride","1","1","207066","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0xhiQVCz22skOX51jsrfyE","Stand","Rascal Flatts","Me And My Gang","1","1","208133","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:1R1DsT0pvbntgdacgYVAgL","It Just Comes Natural","George Strait","It Just Comes Natural","1","5","176426","spotify:user:sjwheat","2014-02-06T22:45:29Z"
